,date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_prev_ip,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,home_team_curr_slg,home_team_prev_slg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,away_team_curr_slg,away_team_prev_slg,fir_result
0,20180414,WAS,COL,0.9,2.51,200.2,3.67,3.67,110.1,0.462,0.599,1.2857142857142858,0.654320987654321,0.396,0.457,0.5,0.537,0.6666666666666666,0.5987654320987654,0.418,0.452,1
1,20180414,CIN,STL,6.0,6.0,13.0,6.0,6.0,0.0,0.16699999999999998,0.42,0.2857142857142857,0.6790123456790124,0.322,0.43700000000000006,0.462,0.512,0.42857142857142855,0.4506172839506173,0.40399999999999997,0.43200000000000005,1
2,20180414,CHC,ATL,3.74,3.74,84.1,4.32,4.32,100.0,0.5,0.568,0.42857142857142855,0.6234567901234568,0.42200000000000004,0.44799999999999995,0.583,0.444,1.0,0.4876543209876543,0.452,0.42100000000000004,1
3,20180414,HOU,TEX,3.62,3.62,146.2,2.55,2.55,77.2,0.6920000000000001,0.623,0.42857142857142855,0.5987654320987654,0.395,0.485,0.28600000000000003,0.48100000000000004,0.13333333333333333,0.6604938271604939,0.355,0.433,0
4,20180414,TB,PHI,4.12,4.12,201.0,3.53,3.53,168.1,0.25,0.494,0.3076923076923077,0.5246913580246914,0.32,0.42700000000000005,0.545,0.40700000000000003,1.1538461538461535,0.5123456790123457,0.397,0.415,0
5,20180414,NYM,MIL,6.7,6.7,92.2,2.74,2.74,141.1,0.909,0.43200000000000005,0.6153846153846154,0.6666666666666666,0.41200000000000003,0.43799999999999994,0.5379999999999999,0.531,0.2857142857142857,0.7037037037037037,0.379,0.436,0
6,20180414,MIA,PIT,6.0,6.0,0.0,4.44,4.44,133.2,0.25,0.475,0.6153846153846154,0.7716049382716049,0.306,0.441,0.75,0.46299999999999997,0.8461538461538461,0.6172839506172839,0.48200000000000004,0.395,0
7,20180414,KC,LAA,4.58,4.58,98.1,2.28,2.28,27.2,0.273,0.494,0.7857142857142857,0.3765432098765432,0.321,0.423,0.7859999999999999,0.494,1.0,0.462962962962963,0.491,0.40399999999999997,0
8,20180414,SD,SF,4.79,4.79,197.1,6.53,6.53,135.0,0.28600000000000003,0.43799999999999994,0.13333333333333333,0.5,0.381,0.39899999999999997,0.5,0.395,0.6428571428571429,0.462962962962963,0.36,0.386,1
9,20180414,LAD,ARI,3.26,3.26,140.2,3.49,3.49,157.1,0.364,0.642,0.9230769230769232,0.5679012345679012,0.354,0.444,0.75,0.574,1.2307692307692308,0.6666666666666666,0.401,0.452,0
10,20180414,SEA,OAK,5.4,5.4,36.2,4.19,4.19,105.1,0.6,0.48100000000000004,1.0833333333333333,0.5,0.401,0.42700000000000005,0.385,0.46299999999999997,0.35714285714285715,0.5679012345679012,0.42100000000000004,0.439,0
11,20180415,BOS,BAL,2.9,2.9,214.1,1.35,4.24,169.2,0.846,0.574,1.0714285714285714,0.5246913580246914,0.435,0.414,0.35700000000000004,0.46299999999999997,0.26666666666666666,0.5617283950617284,0.355,0.439,1
12,20180415,NYM,MIL,2.97,2.97,30.1,3.94,3.94,180.1,0.917,0.43200000000000005,0.5714285714285714,0.6666666666666666,0.428,0.43799999999999994,0.5,0.531,0.26666666666666666,0.7037037037037037,0.39399999999999996,0.436,1
13,20180415,TB,PHI,6.0,6.0,0.0,4.26,4.26,88.2,0.231,0.494,0.2857142857142857,0.5246913580246914,0.309,0.42700000000000005,0.583,0.40700000000000003,1.0714285714285714,0.5123456790123457,0.389,0.415,1
14,20180415,MIA,PIT,3.82,3.82,169.2,4.14,4.14,187.0,0.308,0.475,0.5714285714285714,0.7716049382716049,0.32299999999999995,0.441,0.6920000000000001,0.46299999999999997,0.7857142857142857,0.6172839506172839,0.47100000000000003,0.395,1
15,20180415,CIN,STL,6.43,6.43,91.0,3.64,3.64,205.0,0.154,0.42,0.26666666666666666,0.6790123456790124,0.321,0.43700000000000006,0.5,0.512,0.4666666666666667,0.4506172839506173,0.41600000000000004,0.43200000000000005,0
16,20180415,WAS,COL,2.21,2.57,175.1,4.81,4.81,86.0,0.429,0.599,1.2,0.654320987654321,0.382,0.457,0.5329999999999999,0.537,0.75,0.5987654320987654,0.408,0.452,1
17,20180415,LAD,ARI,2.31,2.31,175.0,3.37,3.37,155.0,0.33299999999999996,0.642,0.8571428571428571,0.5679012345679012,0.358,0.444,0.769,0.574,1.1428571428571428,0.6666666666666666,0.41100000000000003,0.452,0
18,20180415,SEA,OAK,4.36,4.36,86.2,1.74,4.37,158.2,0.636,0.48100000000000004,1.0,0.5,0.41600000000000004,0.42700000000000005,0.35700000000000004,0.46299999999999997,0.3333333333333333,0.5679012345679012,0.42700000000000005,0.439,1
19,20180415,SD,SF,6.0,6.0,0.0,6.0,6.0,0.0,0.33299999999999996,0.43799999999999994,0.25,0.5,0.381,0.39899999999999997,0.462,0.395,0.6,0.462962962962963,0.354,0.386,0
20,20180415,HOU,TEX,1.06,1.06,34.0,5.17,5.17,80.0,0.7140000000000001,0.623,0.4,0.5987654320987654,0.395,0.485,0.267,0.48100000000000004,0.125,0.6604938271604939,0.35600000000000004,0.433,0
21,20180416,NYY,MIA,2.98,2.98,193.1,6.0,6.0,18.2,0.5,0.562,0.875,0.5740740740740741,0.425,0.451,0.28600000000000003,0.475,0.6,0.7716049382716049,0.314,0.441,1
22,20180416,PIT,COL,4.67,4.67,34.2,4.39,4.39,162.0,0.7140000000000001,0.46299999999999997,0.7333333333333333,0.6172839506172839,0.45399999999999996,0.395,0.5,0.537,0.7058823529411765,0.5987654320987654,0.395,0.452,1
23,20180416,TB,TEX,4.04,4.04,129.1,4.77,4.77,185.0,0.214,0.494,0.4,0.5246913580246914,0.312,0.42700000000000005,0.312,0.48100000000000004,0.1176470588235294,0.6604938271604939,0.376,0.433,1
24,20180416,NYM,WAS,3.53,3.53,201.1,6.97,6.97,51.2,0.846,0.43200000000000005,0.6,0.6666666666666666,0.40700000000000003,0.43799999999999994,0.467,0.599,1.1875,0.654320987654321,0.392,0.457,1
25,20180416,ATL,PHI,4.54,4.54,188.1,3.54,3.54,168.0,0.5710000000000001,0.444,1.0,0.4876543209876543,0.46299999999999997,0.42100000000000004,0.615,0.40700000000000003,1.0,0.5123456790123457,0.401,0.415,1
26,20180416,MIL,CIN,3.42,3.42,81.2,3.12,3.12,89.1,0.5329999999999999,0.531,0.25,0.7037037037037037,0.40399999999999997,0.436,0.14300000000000002,0.42,0.25,0.6790123456790124,0.32,0.43700000000000006,0
27,20180416,OAK,CWS,3.14,3.14,43.0,4.53,4.53,47.2,0.33299999999999996,0.46299999999999997,0.4375,0.5679012345679012,0.439,0.439,0.33299999999999996,0.414,0.3333333333333333,0.5925925925925926,0.418,0.423,0
28,20180416,SEA,HOU,2.98,2.98,136.0,2.9,2.9,145.2,0.667,0.48100000000000004,0.9285714285714286,0.5,0.447,0.42700000000000005,0.667,0.623,0.375,0.5987654320987654,0.391,0.485,1
29,20180416,SD,LAD,6.0,6.0,0.0,3.77,3.77,126.2,0.375,0.43799999999999994,0.2352941176470588,0.5,0.39299999999999996,0.39899999999999997,0.308,0.642,0.8,0.5679012345679012,0.35600000000000004,0.444,0
30,20180417,TOR,KC,4.82,4.82,37.1,6.0,6.0,18.0,0.643,0.469,0.4705882352941176,0.5740740740740741,0.428,0.419,0.231,0.494,0.6875,0.3765432098765432,0.32,0.423,1
31,20180417,NYY,MIA,4.74,4.74,178.1,4.73,4.73,53.1,0.5,0.562,0.9411764705882352,0.5740740740740741,0.425,0.451,0.267,0.475,0.5625,0.7716049382716049,0.315,0.441,1
32,20180417,DET,BAL,6.0,6.0,14.1,3.4,3.4,166.2,0.308,0.395,0.25,0.4753086419753086,0.33399999999999996,0.43,0.312,0.46299999999999997,0.3125,0.5617283950617284,0.349,0.439,0
33,20180417,PIT,COL,4.13,4.13,150.1,5.05,5.05,51.2,0.733,0.46299999999999997,0.6875,0.6172839506172839,0.455,0.395,0.529,0.537,0.7777777777777778,0.5987654320987654,0.4,0.452,1
34,20180417,TOR,KC,5.34,5.34,119.2,3.75,3.75,151.1,0.643,0.469,0.4705882352941176,0.5740740740740741,0.428,0.419,0.231,0.494,0.6875,0.3765432098765432,0.32,0.423,1
35,20180417,MIN,CLE,4.14,4.14,143.1,1.57,2.18,210.2,0.636,0.525,0.5714285714285714,0.5370370370370371,0.42,0.43799999999999994,0.5710000000000001,0.63,0.9375,0.6419753086419753,0.32,0.45399999999999996,0
36,20180417,TB,TEX,6.0,6.0,0.0,5.52,5.52,174.1,0.2,0.494,0.4375,0.5246913580246914,0.324,0.42700000000000005,0.353,0.48100000000000004,0.1111111111111111,0.6604938271604939,0.37,0.433,1
37,20180417,NYM,WAS,5.21,5.21,86.1,2.96,2.96,201.0,0.857,0.43200000000000005,0.625,0.6666666666666666,0.41200000000000003,0.43799999999999994,0.43799999999999994,0.599,1.1764705882352942,0.654320987654321,0.396,0.457,0
38,20180417,ATL,PHI,4.79,4.79,154.0,5.89,5.89,133.0,0.5710000000000001,0.444,1.0,0.4876543209876543,0.46299999999999997,0.42100000000000004,0.643,0.40700000000000003,1.0,0.5123456790123457,0.39799999999999996,0.415,1
39,20180417,MIL,CIN,5.12,5.12,70.1,4.45,4.45,87.0,0.5,0.531,0.2352941176470588,0.7037037037037037,0.38799999999999996,0.436,0.133,0.42,0.2352941176470588,0.6790123456790124,0.32799999999999996,0.43700000000000006,0
40,20180417,CHC,STL,4.68,4.68,154.0,5.11,5.11,123.1,0.5,0.568,0.4705882352941176,0.6234567901234568,0.41200000000000003,0.44799999999999995,0.562,0.512,0.4117647058823529,0.4506172839506173,0.41700000000000004,0.43200000000000005,0
