date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_curr_ip,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_curr_ip,away_pitcher_prev_ip,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_pitcher_adv,away_pitcher_adv,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,fir_result
20180329,MIA,CHC,-1,3.82,-1,169.2,-1,4.33,-1,180.2,-1,-1,-1,-1,1,1,-1,0.475,-1,0.7716049382716049,-1,0.568,-1,0.6234567901234568,1
20180329,NYM,STL,-1,2.97,-1,30.1,-1,3.64,-1,205.0,-1,-1,-1,-1,1,1,-1,0.432,-1,0.6666666666666666,-1,0.512,-1,0.4506172839506173,1
20180329,BAL,MIN,-1,4.24,-1,169.2,-1,4.14,-1,143.1,-1,-1,-1,-1,1,1,-1,0.463,-1,0.5617283950617284,-1,0.525,-1,0.5370370370370371,0
20180329,TEX,HOU,-1,4.2,-1,148.0,-1,1.06,-1,34.0,-1,-1,-1,-1,1,1,-1,0.481,-1,0.6604938271604939,-1,0.623,-1,0.5987654320987654,1
20180329,TOR,NYY,-1,3.53,-1,145.1,-1,2.98,-1,193.1,-1,-1,-1,-1,1,1,-1,0.469,-1,0.5740740740740741,-1,0.562,-1,0.5740740740740741,1
20180329,TB,BOS,-1,4.12,-1,201.0,-1,2.9,-1,214.1,-1,-1,-1,-1,1,1,-1,0.494,-1,0.5246913580246914,-1,0.574,-1,0.5246913580246914,0
20180329,OAK,LAA,-1,4.19,-1,105.1,-1,2.28,-1,27.2,-1,-1,-1,-1,1,1,-1,0.463,-1,0.5679012345679012,-1,0.494,-1,0.46296296296296297,0
20180329,SD,MIL,-1,4.79,-1,197.1,-1,2.74,-1,141.1,-1,-1,-1,-1,1,1,-1,0.438,-1,0.5,-1,0.531,-1,0.7037037037037037,0
20180329,ATL,PHI,-1,4.54,-1,188.1,-1,3.54,-1,168.0,-1,-1,-1,-1,1,1,-1,0.444,-1,0.4876543209876543,-1,0.407,-1,0.5123456790123457,1
20180329,KC,CWS,-1,3.75,-1,151.1,-1,5.23,-1,117.0,-1,-1,-1,-1,1,1,-1,0.494,-1,0.3765432098765432,-1,0.414,-1,0.5925925925925926,1
20180329,LAD,SF,-1,2.31,-1,175.0,-1,4.78,-1,163.2,-1,-1,-1,-1,1,1,-1,0.642,-1,0.5679012345679012,-1,0.395,-1,0.46296296296296297,0
20180329,SEA,CLE,-1,4.36,-1,86.2,-1,2.18,-1,210.2,-1,-1,-1,-1,1,1,-1,0.481,-1,0.5,-1,0.63,-1,0.6419753086419753,1
20180329,ARI,COL,-1,4.08,-1,189.2,-1,3.67,-1,110.1,-1,-1,-1,-1,1,1,-1,0.574,-1,0.6666666666666666,-1,0.537,-1,0.5987654320987654,1
20180330,DET,PIT,-1,6.08,-1,160.0,-1,4.14,-1,187.0,-1,-1,-1,-1,1,1,-1,0.395,0.0,0.47530864197530864,-1,0.463,0.0,0.6172839506172839,0
20180330,CIN,WAS,-1,6.43,-1,91.0,-1,2.51,-1,200.2,-1,-1,-1,-1,1,1,-1,0.42,0.0,0.6790123456790124,-1,0.599,1.0,0.654320987654321,1
20180330,TOR,NYY,-1,4.25,-1,36.0,-1,4.74,-1,178.1,-1,-1,-1,-1,1,1,-1,0.469,0.0,0.5740740740740741,-1,0.562,2.0,0.5740740740740741,0
20180330,TB,BOS,-1,4.04,-1,129.1,-1,3.38,-1,74.2,-1,-1,-1,-1,1,1,-1,0.494,0.0,0.5246913580246914,-1,0.574,0.0,0.5246913580246914,0
20180330,MIA,CHC,-1,7.71,-1,18.2,-1,3.03,-1,139.2,-1,-1,-1,-1,1,1,-1,0.475,1.0,0.7716049382716049,-1,0.568,3.0,0.6234567901234568,0
20180330,ATL,PHI,-1,4.79,-1,154.0,-1,5.89,-1,133.0,-1,-1,-1,-1,1,1,-1,0.444,0.0,0.4876543209876543,-1,0.407,1.0,0.5123456790123457,0
20180330,TEX,HOU,-1,5.28,-1,90.1,-1,2.9,-1,145.2,-1,-1,-1,-1,1,1,-1,0.481,0.0,0.6604938271604939,-1,0.623,1.0,0.5987654320987654,0
20180330,ARI,COL,-1,2.86,-1,163.2,-1,4.81,-1,86.0,-1,-1,-1,-1,1,1,-1,0.574,3.0,0.6666666666666666,-1,0.537,1.0,0.5987654320987654,1
20180330,OAK,LAA,-1,4.37,-1,158.2,-1,4.55,-1,85.0,-1,-1,-1,-1,1,1,-1,0.463,0.0,0.5679012345679012,-1,0.494,0.0,0.46296296296296297,1
20180330,SD,MIL,-1,0.0,-1,0.0,-1,3.94,-1,180.1,-1,-1,-1,-1,1,1,-1,0.438,0.0,0.5,-1,0.531,0.0,0.7037037037037037,1
20180330,LAD,SF,-1,2.72,-1,152.1,-1,4.52,-1,147.1,-1,-1,-1,-1,1,1,-1,0.642,0.0,0.5679012345679012,-1,0.395,0.0,0.46296296296296297,0
20180331,NYM,STL,0,3.53,0,201.1,0,3.98,0,171.2,0.64575,0.8150000000000002,0.6,0.8150000000000002,0,1,1.0,0.432,1.0,0.6666666666666666,0.0,0.512,0.0,0.4506172839506173,1
20180331,CIN,WAS,0,3.12,0,89.1,0,2.57,0,175.1,0.0,0.8858,0.0,0.8858,0,0,-1.0,0.42,0.0,0.6790123456790124,-1.0,0.599,1.0,0.654320987654321,1
20180331,TEX,HOU,0,5.52,0,174.1,0,4.25,0,118.2,0.75,0.8347500000000001,0.9634,0.8347500000000001,0,1,0.0,0.481,0.0,0.6604938271604939,1.0,0.623,0.5,0.5987654320987654,0
20180331,OAK,LAA,0,3.14,0,43.0,0,4.52,0,77.2,1.0434,0.842,1.0534000000000001,0.842,0,1,1.0,0.463,0.0,0.5679012345679012,0.0,0.494,0.5,0.46296296296296297,1
20180331,TOR,NYY,0,4.98,0,186.0,0,3.69,0,148.2,0.1,0.8158,1.1099999999999999,0.8158,1,0,0.0,0.469,0.0,0.5740740740740741,1.0,0.562,1.0,0.5740740740740741,1
20180331,SEA,CLE,0,2.98,0,136.0,0,3.28,0,200.0,0.6334,0.795,0.4,0.795,1,1,1.0,0.481,2.0,0.5,0.0,0.63,0.0,0.6419753086419753,1
20180331,TB,BOS,0,1.76,0,15.1,0,4.65,0,203.1,0.6875,0.55525,0.6,0.55525,0,1,1.0,0.494,0.0,0.5246913580246914,0.0,0.574,0.0,0.5246913580246914,0
20180331,BAL,MIN,0,3.4,0,166.2,0,5.07,0,158.0,0.61,0.7941999999999999,0.34,0.7941999999999999,1,0,1.0,0.463,0.0,0.5617283950617284,0.0,0.525,0.0,0.5370370370370371,1
20180331,MIA,CHC,0,4.01,0,58.1,0,3.44,0,49.2,0.8300000000000001,0.7330000000000001,1.1465999999999998,0.7330000000000001,1,0,0.0,0.475,0.5,0.7716049382716049,1.0,0.568,1.5,0.6234567901234568,1
20180331,ATL,PHI,0,3.98,0,92.2,0,5.12,0,72.0,1.21,0.6592,0.8632,0.6592,0,0,1.0,0.444,0.0,0.4876543209876543,0.0,0.407,0.5,0.5123456790123457,1
20180331,KC,CWS,0,5.38,0,154.0,0,2.38,0,45.1,0.7766,0.7384000000000001,1.44,0.7384000000000001,0,1,0.0,0.494,4.0,0.3765432098765432,1.0,0.414,0.0,0.5925925925925926,1
20180331,ARI,COL,0,3.18,0,209.1,0,4.39,0,162.0,0.89,0.8283999999999999,1.0,0.8283999999999999,0,0,1.0,0.574,4.0,0.6666666666666666,0.0,0.537,0.5,0.5987654320987654,0
20180331,SD,MIL,0,4.73,0,163.2,0,3.42,0,81.2,0.33,0.857,0.65,0.857,1,1,0.0,0.438,0.0,0.5,1.0,0.531,1.0,0.7037037037037037,1
20180331,LAD,SF,0,4.22,0,134.1,0,6.53,0,135.0,0.3166,0.8306000000000001,0.7,0.8306000000000001,1,0,0.0,0.642,0.0,0.5679012345679012,1.0,0.395,0.0,0.46296296296296297,1
20180401,BAL,MIN,0,4.68,0,186.2,0,3.89,0,145.2,0.61,0.7941999999999999,0.34,0.7941999999999999,1,0,1.0,0.463,0.0,0.5617283950617284,0.0,0.525,0.5,0.5370370370370371,1
20180401,TOR,NYY,0,3.09,0,201.0,0,3.72,0,65.1,0.3888,0.7886,1.0290000000000001,0.7886,0,0,0.0,0.469,0.3333333333333333,0.5740740740740741,1.0,0.562,0.6666666666666666,0.5740740740740741,0
20180401,TB,BOS,0,3.43,0,86.2,0,2.92,0,24.2,0.7065,0.55525,0.6035999999999999,0.55525,0,1,0.5,0.494,0.0,0.5246913580246914,0.5,0.574,0.0,0.5246913580246914,0
20180401,MIA,CHC,0,5.17,0,31.1,0,3.74,0,84.1,0.7492000000000001,0.7170000000000001,0.9464999999999999,0.7170000000000001,0,0,0.5,0.475,1.0,0.7716049382716049,0.5,0.568,1.0,0.6234567901234568,0
20180401,DET,PIT,0,3.83,0,164.2,0,4.13,0,150.1,0.6262,0.7306,1.06,0.7306,0,0,0.0,0.395,1.0,0.47530864197530864,1.0,0.463,0.0,0.6172839506172839,1
20180401,NYM,STL,0,6.08,0,66.2,0,3.88,0,60.1,0.5166000000000001,0.8098000000000001,0.6,0.8098000000000001,0,1,1.0,0.432,1.5,0.6666666666666666,0.0,0.512,0.0,0.4506172839506173,0
20180401,TEX,HOU,0,2.55,0,77.2,0,4.26,0,203.0,0.7762,0.8432000000000001,0.7247999999999999,0.8432000000000001,0,1,0.5,0.481,0.0,0.6604938271604939,0.5,0.623,0.3333333333333333,0.5987654320987654,1
