date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_curr_ip,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_curr_ip,away_pitcher_prev_ip,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_curr_hr,home_prev_hr,away_curr_hr,away_prev_hr,home_pitcher_adv,away_pitcher_adv,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,park_rating,fir_result
20180330,TEX,HOU,-1,5.28,-1,90.1,-1,2.9,-1,145.2,-1,0.8106,-1,0.8954000000000001,-1,0.04468392127980143,-1,0.04447179417828506,1,1,-1,0.481,0.0,0.6604938271604939,-1,0.623,1.0,0.5987654320987654,1.215,0
20180330,ARI,COL,-1,2.86,-1,163.2,-1,4.81,-1,86.0,-1,0.8096,-1,0.8772499999999999,-1,0.035539513574912834,-1,0.04517426895198973,1,1,-1,0.574,3.0,0.6666666666666666,-1,0.537,1.0,0.5987654320987654,1.202,1
20180330,OAK,LAA,-1,4.37,-1,158.2,-1,4.55,-1,85.0,-1,0.8017999999999998,-1,0.8566,-1,0.05137739650789058,-1,0.05740517673452662,1,1,-1,0.463,0.0,0.5679012345679012,-1,0.494,0.0,0.46296296296296297,1.0,1
20180330,SD,MIL,-1,0.0,-1,0.0,-1,3.94,-1,180.1,-1,0.7856,-1,0.8354000000000001,-1,0.033228813182872755,-1,0.04330771678247343,1,1,-1,0.438,0.0,0.5,-1,0.531,0.0,0.7037037037037037,0.828,1
20180330,LAD,SF,-1,2.72,-1,152.1,-1,4.52,-1,147.1,-1,0.8522000000000001,-1,0.8171999999999999,-1,0.05455733289259457,-1,0.030362267349443906,1,1,-1,0.642,0.0,0.5679012345679012,-1,0.395,0.0,0.46296296296296297,0.971,0
20180331,NYM,STL,0,3.53,0,201.1,0,3.98,0,171.2,0.64575,0.8150000000000002,0.6,0.8846,0.0,0.04783292369689546,0.05,0.050308557105719645,0,1,1.0,0.432,1.0,0.6666666666666666,0.0,0.512,0.0,0.4506172839506173,0.858,1
20180331,CIN,WAS,0,3.12,0,89.1,0,2.57,0,175.1,0.0,0.8858,0.0,0.8974,-1.0,0.058586874134717706,-1.0,0.049642652500007496,0,0,-1.0,0.42,0.0,0.6790123456790124,-1.0,0.599,1.0,0.654320987654321,1.02,1
20180331,TEX,HOU,0,5.52,0,174.1,0,4.25,0,118.2,0.75,0.8347500000000001,0.9634,0.9074,0.0,0.05186553989762412,0.05,0.04913095053555463,0,1,0.0,0.481,0.0,0.6604938271604939,1.0,0.623,0.5,0.5987654320987654,1.215,0
20180331,OAK,LAA,0,3.14,0,43.0,0,4.52,0,77.2,1.0434,0.842,1.0534000000000001,0.8566,0.08,0.06203837731812513,0.11333333333333333,0.056098078919083215,0,1,1.0,0.463,0.0,0.5679012345679012,0.0,0.494,0.5,0.46296296296296297,1.0,1
20180331,TOR,NYY,0,4.98,0,186.0,0,3.69,0,148.2,0.1,0.8158,1.1099999999999999,0.9176,0.0,0.0560839972597707,0.08,0.06883222218589297,1,0,0.0,0.469,0.0,0.5740740740740741,1.0,0.562,1.0,0.5740740740740741,0.946,1
