date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_curr_ip,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_curr_ip,away_pitcher_prev_ip,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_pitcher_adv,away_pitcher_adv,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,fir_result
20170405,ARI,SF,0,4.22,0,134.1,0,4.08,0,68.1,0.72,0.8012,0.45,0.8012,1,0,1,0.426,0,0.654320988,0,0.537,0,0.401234568,0
20170405,OAK,LAA,0,2.15,0,29.1,0,2.34,0,34.2,1.2,0.7812,0.9832,0.7812,0,1,1,0.426,0.5,0.388888889,0,0.457,0,0.635802469,0
20170405,LAD,SD,0,1.83,0,34.1,0,2.76,0,65.1,1.2966,0.8282,0.6,0.8282,1,1,1,0.562,0,0.648148148,0,0.42,1.5,0.537037037,1
20170406,CIN,PHI,0,0,0,0,0,4.78,0,139.1,0.69,0.7868,0.8168,0.7868,1,0,0,0.42,0,0.679012346,1,0.438,1,0.425925926,1
20170406,MIN,KC,0,5.07,0,147.1,0,3.83,0,166.2,0.6466,0.7734,0.5834,0.7734,1,0,1,0.364,0,0.481481481,0,0.5,0,0.512345679,0
20170406,MIL,COL,0,4.4,0,151.1,0,0,0,0,0.9876,0.4688,0.71225,0.4688,0,1,0,0.451,0,0.543209877,1,0.463,0,0.635802469,0
20170406,STL,CHC,0,0,0,0,-1,3.35,-1,188.1,0.5718,0.8342,0.4948,0.8342,0,1,0.5,0.531,0,0.425925926,0.5,0.636,0,0.672839506,1
20170406,CWS,DET,0,6.77,0,114.1,0,4.43,0,101.2,0.77,0.7676,1.1534,0.7676,1,0,0,0.481,1,0.50617284,1,0.534,0,0.49068323,0
20170406,LAD,SD,0,4.95,0,40,-1,5.06,-1,178,1.0998,0.8312,0.825,0.8312,0,1,0.5,0.562,0.666666667,0.648148148,0.5,0.42,1,0.537037037,0
20170406,OAK,LAA,0,4.31,0,56.1,0,4.17,0,49.2,1.225,0.7518,0.7916,0.7518,1,0,0.5,0.426,0.333333333,0.388888889,0.5,0.457,0,0.635802469,0
20170406,WAS,MIA,0,4.57,0,177.1,0,4.34,0,176.1,1.2666,0.8316,0.25,0.8316,1,1,1,0.586,0,0.740740741,0,0.491,1,0.577639752,1
20170406,NYM,ATL,0,4.87,0,92.1,0,4.48,0,178.2,0.4366,0.81,0.65,0.81,0,1,1,0.537,0,0.450617284,0,0.422,0,0.403726708,0
20170406,TB,TOR,0,3.54,0,89,0,4.37,0,204,0.865,0.782,0.5668,0.782,1,1,0.5,0.42,1.333333333,0.537037037,0,0.549,0,0.654320988,0
20170406,HOU,SEA,0,4.06,0,62,0,3.54,0,56,0.9666,0.8048,0.509,0.8048,1,0,1,0.519,0.333333333,0.592592593,0,0.531,0,0.598765432,1
20170406,ARI,SF,0,4.9,0,174.1,0,3.81,0,203.1,0.8246,0.7828,0.8112,0.7828,0,1,0.5,0.426,0,0.654320988,0.5,0.537,0,0.401234568,0
20170407,PIT,ATL,0,3.06,0,64.2,0,4.31,0,123.1,0.3362,0.7818,0.6756,0.7818,1,0,0,0.481,0,0.641975309,0.5,0.422,0,0.403726708,0
20170407,DET,BOS,0,3.06,0,159,0,3.33,0,156.2,1.1534,0.843,0.3522,0.843,1,0,1,0.534,0,0.49068323,1,0.574,0,0.709876543,1
20170407,PHI,WAS,0,4.12,0,131,0,2.96,0,228,0.7712,0.7568,1.1314,0.7568,0,0,0.5,0.438,1,0.425925926,1,0.586,0.333333333,0.740740741,1
20170407,COL,LAD,0,0,0,0,0,11.57,0,4.2,0.663,0.92125,0.912,0.92125,0,0,0.667,0.463,0,0.635802469,0.667,0.562,0.5,0.648148148,1
20170407,SD,SF,0,5.71,0,146.2,-1,5.64,-1,89.1,0.6752,0.7538,0.8808,0.7538,0,1,0.333,0.42,0.75,0.537037037,0.333,0.537,0,0.401234568,1
20170407,BAL,NYY,-1,5.32,-1,142,0,5.83,0,71,0.8738,0.8044,0.683,0.8044,1,0,1,0.549,0,0.530864198,0.333,0.519,0,0.425925926,1
20170407,NYM,MIA,0,0,0,0,0,4.96,0,123.1,0.2988,0.81,0.2582,0.81,0,1,0.5,0.537,0,0.450617284,0,0.491,0.666666667,0.577639752,1
20170407,TB,TOR,0,4.37,0,127.2,0,2.92,0,49.1,0.802666667,0.721333333,0.4404,0.721333333,0,0,0.667,0.42,1,0.537037037,0,0.549,0,0.654320988,1
20170407,TEX,OAK,-1,5.07,-1,119,0,6.66,0,24.1,1.066666667,0.778666667,0.7622,0.778666667,1,1,0,0.586,0.666666667,0.561728395,0.333,0.426,0.25,0.388888889,1
20170407,MIL,CHC,0,4.63,0,179,0,11.91,0,11.1,1.1276,0.6494,0.4948,0.6494,1,0,0.333,0.451,0,0.543209877,0.5,0.636,0,0.672839506,0
20170407,CWS,MIN,0,4.95,0,107.1,0,5.95,0,59,0.77,0.7676,0.8534,0.7676,0,1,0,0.481,0.5,0.50617284,1,0.364,0,0.481481481,1
20170407,HOU,KC,0,4.48,0,168.2,0,2.25,0,12,0.6626,0.8242,0.5412,0.8242,1,1,1,0.519,0.5,0.592592593,0,0.5,0,0.512345679,0
20170407,STL,CIN,0,4.7,0,176.1,0,0,0,0,0.5392,0.8238,0.692,0.8238,1,1,0.5,0.531,1,0.425925926,0.5,0.42,0,0.679012346,0
20170407,ARI,CLE,0,6.09,0,102,0,4.34,0,180.1,0.72,0.8006,0.7886,0.8006,1,0,0.667,0.426,0,0.654320988,1,0.584,0.333333333,0.559006211,1
20170407,LAA,SEA,0,4.21,0,25.2,0,5.43,0,117.2,0.7966,0.8188,0.5416,0.8188,1,1,0.667,0.457,0,0.635802469,0,0.531,0,0.598765432,1
20170408,DET,BOS,0,4.89,0,105,0,4.71,0,107,0.872,0.843,0.3416,0.843,1,1,0.5,0.534,0.333333333,0.49068323,1,0.574,0,0.709876543,0
20170408,CWS,MIN,0,3.73,0,135,0,7.71,0,2.1,0.6952,0.7676,0.9794,0.7676,1,0,0.5,0.481,0.666666667,0.50617284,1,0.364,0,0.481481481,1
20170408,STL,CIN,0,5.09,0,138,-1,-1,-1,-1,0.6176,0.8342,0.98675,0.8342,0,1,0.333,0.531,0.75,0.425925926,0.667,0.42,0,0.679012346,1
20170408,BAL,NYY,3.38,3.61,5.1,179.2,23.62,3.07,2.2,199.2,0.8738,0.8044,0.5464,0.8044,1,1,1,0.549,0.333333333,0.530864198,0.333,0.519,0.25,0.425925926,0
20170408,TB,TOR,2.57,4.02,7,201.1,0,3.01,0,191.2,0.8115,0.782,0.4772,0.782,0,1,0.5,0.42,1.8,0.537037037,0.333,0.549,0.5,0.654320988,0
20170408,PHI,WAS,0,4.78,0,111,-1,-1,-1,-1,0.6978,0.7568,1.0388,0.7568,0,1,0.333,0.438,0.75,0.425925926,0.667,0.586,0.75,0.740740741,1
20170408,PIT,ATL,0,4.2,0,70.2,0,4.46,0,169.2,0.2326,0.7806,0.4542,0.7806,0,0,0,0.481,0,0.641975309,0.333,0.422,0,0.403726708,0
20170408,MIL,CHC,9,5.71,2,69.1,0,2.13,0,190,1.059,0.4522,0.5444,0.4522,1,0,0.25,0.451,0,0.543209877,0.667,0.636,0,0.672839506,1
20170408,HOU,KC,0,4.55,7,168,1.5,3.51,6,179.2,0.6728,0.8242,0.5372,0.8242,0,0,0.75,0.519,0.4,0.592592593,0,0.5,0,0.512345679,0
20170408,NYM,MIA,0,2.42,1,44.2,0,3.85,0,133.1,0.586,0.8208,0.529,0.8208,0,0,0.667,0.537,0.25,0.450617284,0.333,0.491,0.5,0.577639752,1
20170408,TEX,OAK,5.68,3.41,6.1,100.1,3,4.11,6,186,1.066666667,0.778666667,0.8768,0.778666667,0,1,0,0.586,1.25,0.561728395,0.5,0.426,0.2,0.388888889,0
20170408,ARI,CLE,3.6,4.37,5,158.2,0,4.26,0,190,0.7992,0.8036,0.7886,0.8036,1,0,0.75,0.426,0,0.654320988,1,0.584,0.5,0.559006211,0
20170408,COL,LAD,11.25,4.61,4,168,1.29,1.69,7,149,0.8018,0.8982,0.882,0.8982,1,1,0.75,0.463,0.2,0.635802469,0.75,0.562,0.4,0.648148148,1
