,date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_prev_ip,pitcher_adv,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_curr_hr,home_prev_hr,away_curr_hr,away_prev_hr,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,park_rating,fir_result
0,20180414,WAS,COL,0.9,2.51,200.2,3.67,3.67,110.1,0,0.804,0.7916000000000001,0.84775,0.8222499999999999,0.05075324675324675,0.03995913356441486,0.06509471305104003,0.02928515972435933,0.462,0.599,1.2857142857142858,0.654320987654321,0.5,0.537,0.6666666666666666,0.5987654320987654,1.057,1
1,20180414,CIN,STL,6.0,6.0,13.0,6.0,6.0,0.0,2,0.5720000000000001,0.7882,0.8605,0.8712500000000001,0.010256410256410256,0.03858394817260295,0.057137775406300724,0.049605255848789116,0.16699999999999998,0.42,0.2857142857142857,0.6790123456790124,0.462,0.512,0.42857142857142855,0.4506172839506173,1.02,1
2,20180414,CHC,ATL,3.74,3.74,84.1,4.32,4.32,100.0,0,0.84525,0.8340000000000001,0.9492,0.8112,0.030340436590436587,0.05051162643022451,0.05567779241692285,0.037182504005090135,0.5,0.568,0.42857142857142855,0.6234567901234568,0.583,0.444,1.0,0.4876543209876543,1.131,1
3,20180414,HOU,TEX,3.62,3.62,146.2,2.55,2.55,77.2,1,0.7482500000000001,0.9075,0.49025,0.5715,0.02210485507523835,0.04877632553208065,0.017543859649122806,0.046902654867256637,0.6920000000000001,0.623,0.42857142857142855,0.5987654320987654,0.28600000000000003,0.48100000000000004,0.13333333333333333,0.6604938271604939,0.826,0
4,20180414,TB,PHI,4.12,4.12,201.0,3.53,3.53,168.1,0,0.68325,0.79575,0.8606,0.8420000000000001,0.014870689655172412,0.042844125604728125,0.04045454545454545,0.045745943057869616,0.25,0.494,0.3076923076923077,0.5246913580246914,0.545,0.40700000000000003,1.1538461538461535,0.5123456790123457,0.902,0
5,20180414,NYM,MIL,6.7,6.7,92.2,2.74,2.74,141.1,1,0.8788,0.8106000000000002,0.7592000000000001,0.8488,0.05031339031339031,0.04400074716559861,0.0440335789306041,0.05025670592445799,0.909,0.43200000000000005,0.6153846153846154,0.6666666666666666,0.5379999999999999,0.531,0.2857142857142857,0.7037037037037037,0.858,0
6,20180414,MIA,PIT,6.0,6.0,0.0,4.44,4.44,133.2,1,0.7352000000000001,0.7788,0.9058,0.7585999999999999,0.026105600715937056,0.02778187411110017,0.04571270364150714,0.03557529613506045,0.25,0.475,0.6153846153846154,0.7716049382716049,0.75,0.46299999999999997,0.8461538461538461,0.6172839506172839,0.848,0
7,20180414,KC,LAA,4.58,4.58,98.1,2.28,2.28,27.2,1,0.701,0.7198,0.7966000000000001,0.8566,0.02159090909090909,0.040540077401462836,0.04609563178453282,0.05609807891908322,0.273,0.494,0.7857142857142857,0.3765432098765432,0.7859999999999999,0.494,1.0,0.462962962962963,0.9259999999999999,0
8,20180414,SD,SF,4.79,4.79,197.1,6.53,6.53,135.0,0,0.6424,0.8266,0.6653999999999999,0.8079999999999999,0.02824392998306042,0.05173051808973601,0.02763636363636364,0.030108758871688426,0.28600000000000003,0.43799999999999994,0.13333333333333333,0.5,0.5,0.395,0.6428571428571429,0.462962962962963,0.828,1
9,20180414,LAD,ARI,3.26,3.26,140.2,3.49,3.49,157.1,1,0.6748000000000001,0.8522000000000001,0.8278000000000001,0.8096,0.026306620209059238,0.05455733289259457,0.02966110929497657,0.035539513574912834,0.364,0.642,0.9230769230769232,0.5679012345679012,0.75,0.574,1.2307692307692308,0.6666666666666666,0.971,0
10,20180414,SEA,OAK,5.4,5.4,36.2,4.19,4.19,105.1,2,1.011,0.795,0.8320000000000001,0.7656000000000001,0.0819548872180451,0.03585689244277919,0.03917233560090703,0.041416090345667546,0.6,0.48100000000000004,1.0833333333333333,0.5,0.385,0.46299999999999997,0.35714285714285715,0.5679012345679012,1.0,0
